respondent_id,h1n1_vaccine,seasonal_vaccine
27221,0.4,0.8
27222,0.5,0.6
27223,0.1,0.8
27224,0.4,0.8
27225,0.4,0.3
27226,0.1,0.2
27227,0.3,0.3
27228,0.8,0.9
27229,0.7,0.9
27230,0.3,0.9
27231,0.7,0.9
27232,0.2,0.4
27233,0.5,0.3
27234,0.2,0.1
27235,0.9,1.0
27236,0.2,0.9
27237,0.7,0.8
27238,0.7,0.8
27239,0.6,0.2
27240,0.3,0.4
27241,0.2,0.2
27242,0.2,0.5
27243,0.1,0.1
27244,0.1,0.1
27245,0.2,0.4
27246,0.9,0.9
27247,0.4,0.9
27248,0.4,0.8
27249,0.4,0.7
27250,0.2,0.2
27251,0.3,0.5
27252,0.4,0.5
27253,0.1,0.9
27254,1.0,1.0
27255,0.3,0.3
27256,0.9,0.9
27257,0.6,0.5
27258,0.8,0.8
27259,0.9,0.9
27260,0.3,0.5
27261,0.3,0.7
27262,0.5,0.6
27263,0.3,0.1
27264,0.2,0.1
27265,0.1,0.3
27266,0.5,0.4
27267,0.4,0.6
27268,0.1,0.1
27269,0.8,0.5
27270,0.1,0.1
27271,0.1,0.3
27272,0.1,0.4
27273,0.1,0.2
27274,0.3,0.4
27275,0.4,0.4
27276,0.1,0.1
27277,0.1,0.9
27278,0.4,0.4
27279,0.2,0.3
27280,0.7,0.5
27281,0.2,0.4
27282,0.2,0.9
27283,0.1,0.2
27284,0.4,0.5
27285,0.2,0.4
27286,0.4,0.4
27287,0.6,0.7
27288,0.8,0.8
27289,0.7,0.5
27290,0.1,0.1
27291,0.9,0.9
27292,0.1,0.6
27293,0.3,0.9
27294,0.0,0.1
27295,0.5,0.9
27296,0.2,0.8
27297,0.2,0.8
27298,0.3,0.3
27299,0.5,0.7
27300,0.3,0.9
27301,0.0,0.0
27302,0.4,0.8
27303,0.1,0.1
27304,0.3,0.8
27305,0.1,0.0
27306,0.4,0.6
27307,0.9,0.9
27308,0.4,0.2
27309,0.9,0.9
27310,0.1,0.2
27311,0.3,0.2
27312,0.4,0.5
27313,0.2,0.1
27314,0.1,0.1
27315,0.2,0.3
27316,0.7,0.8
27317,0.4,0.3
27318,0.4,0.4
27319,0.7,0.9
27320,0.3,0.8
27321,0.1,0.8
27322,0.5,0.2
27323,0.2,0.6
27324,0.8,0.7
27325,0.9,0.9
27326,0.4,0.7
27327,0.3,0.4
27328,0.5,0.4
27329,0.3,0.3
27330,0.1,0.6
27331,0.2,0.2
27332,0.5,0.9
27333,0.9,0.8
27334,0.1,0.1
27335,0.4,0.1
27336,0.2,0.2
27337,0.5,0.9
27338,0.4,0.5
27339,0.6,0.3
27340,0.0,0.1
27341,0.4,0.7
27342,0.1,0.6
27343,0.1,0.1
27344,0.6,0.6
27345,0.3,0.3
27346,0.9,0.9
27347,0.9,0.9
27348,0.3,0.3
27349,0.1,0.2
27350,0.2,0.9
27351,0.9,0.8
27352,0.3,0.3
27353,0.1,0.1
27354,0.3,0.8
27355,0.4,0.2
27356,0.6,0.8
27357,0.1,0.4
27358,0.4,0.7
27359,0.6,0.7
27360,0.3,0.7
27361,0.1,0.9
27362,0.5,0.5
27363,0.2,0.2
27364,0.1,0.3
27365,0.5,0.6
27366,0.7,0.7
27367,0.6,0.6
27368,0.3,0.6
27369,0.2,0.1
27370,0.1,0.8
27371,0.5,0.4
27372,0.1,0.2
27373,0.9,0.7
27374,0.0,0.2
27375,0.3,0.9
27376,0.8,0.5
27377,0.3,0.6
27378,0.2,0.2
27379,0.3,0.3
27380,0.2,0.9
27381,0.1,0.6
27382,0.5,0.2
27383,0.4,0.6
27384,0.2,0.5
27385,0.2,0.9
27386,0.5,0.9
27387,0.5,0.7
27388,0.3,0.2
27389,0.4,0.2
27390,0.0,0.1
27391,0.4,0.8
27392,0.9,0.9
27393,0.0,0.1
27394,0.0,0.5
27395,0.9,0.8
27396,0.2,0.1
27397,0.9,0.9
27398,0.3,0.8
27399,0.3,0.5
27400,0.2,0.9
27401,0.6,0.3
27402,0.3,0.7
27403,0.1,0.2
27404,0.6,0.3
27405,1.0,0.9
27406,0.1,0.2
27407,0.2,0.1
27408,0.1,0.6
27409,0.9,1.0
27410,0.2,0.2
27411,0.3,0.2
27412,0.4,0.8
27413,0.1,0.3
27414,0.8,0.7
27415,0.3,0.4
27416,0.2,0.2
27417,0.5,0.5
27418,0.6,0.2
27419,0.9,0.9
27420,0.4,0.2
27421,0.3,0.3
27422,0.5,0.7
27423,0.0,0.3
27424,0.2,0.5
27425,0.2,0.4
27426,0.2,0.3
27427,0.3,0.4
27428,0.1,0.1
27429,0.8,0.3
27430,0.3,0.7
27431,0.5,0.7
27432,0.5,0.6
27433,0.2,0.7
27434,0.2,0.3
27435,0.5,0.5
27436,0.1,0.1
27437,0.4,0.2
27438,0.1,0.1
27439,0.5,0.4
27440,0.4,0.2
27441,0.9,0.9
27442,0.5,0.9
27443,0.1,0.1
27444,0.2,0.0
27445,0.1,0.1
27446,0.4,0.1
27447,0.1,0.2
27448,0.6,0.6
27449,0.2,0.9
27450,0.2,0.8
27451,0.1,0.2
27452,0.2,0.2
27453,0.2,0.9
27454,0.3,0.3
27455,0.4,0.3
27456,0.5,0.5
27457,0.1,0.2
27458,0.2,0.4
27459,0.1,0.2
27460,0.9,0.8
27461,0.3,0.2
27462,0.1,0.5
27463,0.2,0.4
27464,0.8,0.8
27465,0.9,1.0
27466,0.0,0.1
27467,0.1,0.2
27468,0.2,0.5
27469,0.1,0.5
27470,1.0,0.9
27471,0.2,0.8
27472,0.6,0.6
27473,0.2,0.3
27474,0.4,0.5
27475,0.1,0.1
27476,0.3,0.4
27477,0.3,0.3
27478,0.1,0.7
27479,0.2,0.3
27480,0.7,0.8
27481,0.9,0.8
27482,0.6,0.3
27483,0.8,0.8
27484,0.3,0.8
27485,0.1,0.8
27486,0.4,0.2
27487,0.3,0.9
27488,0.9,0.9
27489,0.9,0.8
27490,0.1,0.4
27491,0.6,0.6
27492,0.1,0.6
27493,0.3,0.9
27494,0.7,0.7
27495,0.4,0.3
27496,0.1,0.2
27497,0.3,0.1
27498,0.2,0.7
27499,0.5,0.9
27500,0.2,0.9
27501,0.1,0.3
27502,0.1,0.6
27503,0.1,0.7
27504,0.0,0.0
27505,0.1,0.2
27506,0.7,0.9
27507,0.3,0.2
27508,0.6,0.4
27509,0.4,0.6
27510,0.7,0.3
27511,0.5,0.6
27512,0.2,0.3
27513,0.2,0.7
27514,0.7,0.7
27515,0.7,0.5
27516,0.7,0.8
27517,0.1,0.0
27518,0.9,0.9
27519,0.1,0.1
27520,0.1,0.1
27521,0.1,0.4
27522,0.2,0.2
27523,0.0,0.2
27524,0.3,0.5
27525,0.2,0.3
27526,0.8,0.7
27527,0.1,1.0
27528,0.6,0.9
27529,0.3,0.8
27530,0.2,0.1
27531,0.3,0.1
27532,0.3,0.9
27533,0.5,0.4
27534,0.3,0.2
27535,0.2,0.8
27536,0.3,0.4
27537,0.9,0.8
27538,0.5,0.4
27539,0.4,0.8
27540,0.8,0.2
27541,0.9,0.9
27542,0.1,0.1
27543,0.7,0.6
27544,0.3,0.3
27545,0.3,0.1
27546,0.8,0.7
27547,0.2,0.2
27548,0.1,0.9
27549,0.2,0.9
27550,0.4,0.4
27551,0.5,0.6
27552,0.2,0.8
27553,0.2,0.5
27554,0.3,0.3
27555,0.1,0.2
27556,0.1,0.7
27557,0.4,0.9
27558,0.2,0.2
27559,0.4,0.7
27560,0.5,0.8
27561,0.8,0.8
27562,0.5,0.7
27563,0.4,0.6
27564,0.5,0.4
27565,0.4,0.3
27566,0.3,0.3
27567,0.5,0.8
27568,0.7,0.9
27569,0.1,0.1
27570,0.8,0.7
27571,0.1,0.1
27572,0.0,0.0
27573,0.1,0.2
27574,0.4,0.6
27575,0.1,0.3
27576,0.1,0.1
27577,0.4,0.6
27578,0.4,0.5
27579,0.2,0.6
27580,0.1,0.7
27581,0.3,0.2
27582,0.1,0.1
27583,0.3,0.2
27584,0.8,0.6
27585,0.4,0.5
27586,0.8,0.8
27587,0.2,0.8
27588,0.3,0.3
27589,0.2,0.5
27590,0.5,0.4
27591,0.5,0.7
27592,0.1,0.0
27593,0.2,0.1
27594,0.6,0.7
27595,0.1,0.2
27596,0.3,0.2
27597,0.2,0.1
27598,0.2,0.2
27599,0.7,0.8
27600,0.1,0.6
27601,0.1,0.8
27602,0.9,0.9
27603,0.1,0.1
27604,0.1,0.3
27605,0.7,0.5
27606,0.3,0.2
27607,0.7,0.6
27608,0.3,0.6
27609,0.8,0.9
27610,0.6,0.7
27611,0.5,0.1
27612,0.1,0.7
27613,0.9,0.9
27614,0.2,0.4
27615,0.3,0.9
27616,0.1,0.1
27617,0.5,0.5
27618,0.4,0.5
27619,0.5,0.5
27620,0.7,0.6
27621,0.2,0.4
27622,0.8,0.9
27623,0.2,0.8
27624,0.2,0.8
27625,0.2,0.4
27626,0.0,0.1
27627,0.9,0.8
27628,0.2,0.9
27629,0.1,0.1
27630,0.6,0.9
27631,0.4,0.3
27632,0.1,0.2
27633,0.7,0.7
27634,0.4,0.2
27635,0.2,0.3
27636,0.5,0.9
27637,0.2,0.1
27638,0.2,0.3
27639,0.1,0.3
27640,0.9,0.5
27641,0.8,0.6
27642,0.6,0.7
27643,0.1,0.1
27644,0.3,0.6
27645,0.3,0.1
27646,0.2,0.4
27647,0.3,0.2
27648,0.1,0.1
27649,0.2,0.2
27650,0.2,0.6
27651,0.5,0.9
27652,0.3,0.2
27653,0.1,0.1
27654,0.8,0.7
27655,0.3,0.3
27656,0.4,0.3
27657,0.7,0.2
27658,0.0,0.5
27659,0.1,0.1
27660,0.7,0.3
27661,0.5,0.1
27662,0.1,0.3
27663,0.4,0.9
27664,0.4,0.1
27665,0.8,0.7
27666,0.4,0.9
27667,0.1,0.1
27668,1.0,1.0
27669,0.4,0.9
27670,0.8,0.9
27671,0.4,0.8
27672,0.1,0.2
27673,0.1,0.1
27674,0.1,0.5
27675,0.8,0.8
27676,0.5,0.9
27677,0.2,0.3
27678,0.5,0.3
27679,0.3,0.5
27680,0.9,0.9
27681,0.0,0.0
27682,0.1,0.9
27683,0.2,0.7
27684,0.2,0.2
27685,0.1,0.1
27686,0.3,0.4
27687,0.1,0.1
27688,0.3,0.7
27689,0.8,0.9
27690,0.9,0.9
27691,0.9,0.9
27692,0.2,0.3
27693,0.1,0.5
27694,0.3,0.4
27695,0.1,0.5
27696,0.4,0.8
27697,0.8,0.9
27698,0.6,0.4
27699,0.1,0.2
27700,0.2,0.5
27701,0.5,0.4
27702,0.5,0.3
27703,0.1,0.1
27704,0.1,0.1
27705,0.8,0.7
27706,0.2,0.9
27707,0.1,0.3
27708,0.6,0.6
27709,0.4,0.3
27710,0.2,0.2
27711,0.7,0.5
27712,0.1,0.1
27713,0.1,0.1
27714,0.3,0.1
27715,0.9,0.8
27716,0.4,0.4
27717,0.3,0.2
27718,0.3,0.4
27719,0.0,0.1
27720,0.4,0.4
27721,0.7,0.3
27722,0.5,0.3
27723,0.5,0.9
27724,0.2,0.2
27725,0.1,0.6
27726,0.2,0.2
27727,0.3,0.9
27728,0.6,0.5
27729,0.1,0.1
27730,0.9,0.8
27731,0.9,0.9
27732,0.2,0.9
27733,0.1,0.3
27734,0.3,0.6
27735,0.8,0.6
27736,0.4,0.3
27737,0.2,0.8
27738,0.8,0.9
27739,0.8,0.8
27740,0.2,0.4
27741,0.6,0.9
27742,0.4,0.6
27743,0.8,0.7
27744,0.1,0.3
27745,0.9,0.9
27746,0.2,0.7
27747,0.1,0.3
27748,0.5,0.2
27749,0.4,0.8
27750,0.4,0.2
27751,0.2,0.2
27752,0.4,0.8
27753,0.1,0.1
27754,0.4,0.9
27755,1.0,1.0
27756,0.3,0.2
27757,0.1,0.1
27758,0.1,0.9
27759,0.1,0.1
27760,0.7,0.8
27761,0.2,0.8
27762,0.1,0.1
27763,0.3,0.6
27764,0.3,0.6
27765,0.5,0.5
27766,0.9,0.8
27767,0.6,0.8
27768,0.1,0.0
27769,0.3,0.3
27770,0.2,0.7
27771,0.1,0.6
27772,0.9,0.9
27773,0.3,0.4
27774,0.3,0.1
27775,0.3,0.2
27776,0.1,0.1
27777,0.4,0.5
27778,0.5,0.3
27779,0.3,0.2
27780,0.2,0.9
27781,0.1,0.1
27782,0.9,0.9
27783,0.2,0.7
27784,0.3,0.3
27785,0.3,0.4
27786,0.2,0.1
27787,0.3,0.2
27788,0.1,0.1
27789,0.9,0.9
27790,0.9,0.9
27791,0.3,0.4
27792,0.1,0.7
27793,0.3,0.2
27794,0.2,0.2
27795,0.8,0.8
27796,0.4,0.5
27797,0.8,0.6
27798,0.3,0.1
27799,0.2,0.2
27800,0.2,0.2
27801,0.1,0.2
27802,0.9,0.9
27803,0.1,0.1
27804,0.8,0.9
27805,0.2,0.2
27806,0.7,0.9
27807,0.5,0.8
27808,0.4,0.5
27809,0.9,1.0
27810,0.1,0.1
27811,0.1,0.1
27812,0.2,0.2
27813,0.5,0.6
27814,0.3,0.4
27815,0.2,0.5
27816,0.8,0.8
27817,0.2,0.2
27818,0.7,0.9
27819,0.4,0.3
27820,0.9,0.7
27821,0.4,0.3
27822,0.3,0.2
27823,0.5,0.2
27824,0.2,0.8
27825,0.6,0.2
27826,0.3,0.7
27827,0.1,0.1
27828,0.1,0.3
27829,0.1,0.1
27830,0.6,0.3
27831,0.2,0.5
27832,0.4,0.6
27833,0.5,0.4
27834,0.9,0.9
27835,0.8,0.8
27836,0.2,0.9
27837,0.9,0.9
27838,0.1,0.6
27839,0.1,0.2
27840,0.6,0.7
27841,0.4,0.5
27842,0.6,0.9
27843,0.2,0.6
27844,0.2,0.9
27845,0.2,0.8
27846,0.2,0.2
27847,0.2,0.6
27848,0.9,0.9
27849,0.2,0.9
27850,0.4,0.2
27851,0.8,0.3
27852,0.7,0.8
27853,0.3,0.2
27854,0.4,0.8
27855,0.5,0.5
27856,0.7,0.9
27857,0.8,0.9
27858,0.9,0.9
27859,0.9,0.9
27860,0.4,0.8
27861,0.3,0.3
27862,0.2,0.3
27863,0.4,0.3
27864,0.3,0.4
27865,0.7,0.7
27866,0.9,0.8
27867,0.8,0.7
27868,0.8,0.9
27869,0.1,0.5
27870,0.5,0.1
27871,0.3,0.6
27872,0.1,0.1
27873,0.3,0.1
27874,0.6,0.8
27875,0.5,0.5
27876,0.1,0.1
27877,0.8,0.7
27878,0.2,0.8
27879,0.2,0.7
27880,0.2,0.2
27881,0.4,0.8
27882,0.2,0.4
27883,0.1,0.1
27884,0.5,0.3
27885,0.1,0.1
27886,0.3,0.2
27887,0.8,0.7
27888,0.1,0.4
27889,0.2,0.1
27890,0.4,0.5
27891,0.7,0.6
27892,0.3,0.1
27893,0.1,0.2
27894,0.4,0.4
27895,0.3,0.7
27896,0.2,0.6
27897,0.1,0.1
27898,0.1,0.1
27899,0.1,0.5
27900,0.7,0.9
27901,0.2,0.2
27902,0.2,0.3
27903,0.1,0.1
27904,0.5,0.4
27905,0.1,0.2
27906,0.4,0.7
27907,1.0,1.0
27908,0.3,0.7
27909,0.4,0.3
27910,0.5,0.8
27911,0.7,0.8
27912,0.1,0.5
27913,0.1,0.3
27914,0.1,0.4
27915,0.1,0.4
27916,0.3,0.6
27917,0.2,0.4
27918,0.4,0.9
27919,0.3,0.5
27920,0.3,0.8
27921,0.1,0.6
27922,0.6,0.5
27923,0.3,0.9
27924,0.3,0.1
27925,0.0,0.1
27926,0.4,0.3
27927,0.1,0.1
27928,0.9,0.9
27929,0.1,0.9
27930,0.3,0.2
27931,0.9,0.9
27932,0.2,0.1
27933,0.0,0.3
27934,0.8,0.8
27935,0.4,0.9
27936,0.3,0.6
27937,0.9,0.9
27938,0.1,0.2
27939,0.1,0.1
27940,0.1,0.2
27941,0.1,0.3
27942,0.1,0.2
27943,0.2,0.8
27944,0.5,0.3
27945,0.7,0.3
27946,0.1,0.1
27947,0.8,0.9
27948,0.1,0.1
27949,0.4,0.6
27950,0.2,0.9
27951,0.7,0.6
27952,0.1,0.9
27953,0.3,0.6
27954,0.4,0.8
27955,0.1,0.9
27956,0.8,0.8
27957,0.1,0.1
27958,0.9,0.9
27959,0.5,0.3
27960,0.4,0.7
27961,0.2,0.2
27962,0.9,0.9
27963,0.1,0.1
27964,0.1,0.1
27965,0.1,0.1
27966,0.7,0.8
27967,0.1,0.1
27968,0.3,0.4
27969,0.9,0.9
27970,0.2,0.3
27971,0.2,0.8
27972,0.2,0.5
27973,0.8,0.9
27974,0.4,0.5
